kind,architecture,reference,reference_mode,participant,delta
regression,TCN,ridge,current,P24,0.0038178504532253577
regression,TCN,ridge,current,P26,-0.023515276463835333
regression,TCN,ridge,current,P27,0.0016945718149313782
regression,TCN,ridge,current,P3,0.0015469753804882025
regression,TCN,ridge,current,P30,-0.0007703297542598353
regression,TCN,ridge,current,P33,-0.010808683155655863
regression,TCN,ridge,current,P34,-0.022319865958695728
regression,TCN,ridge,current,P35,0.0008128933077100609
regression,TCN,ridge,current,P36,0.004764386114110897
regression,TCN,ridge,current,P4,0.013648546957985341
regression,TCN,ridge,current,P40,0.005243675890156396
regression,TCN,ridge,current,P43,-0.002237139059725779
regression,TCN,ridge,current,P44,-0.018525601709920125
regression,TCN,ridge,current,P46,-0.006454866573152751
regression,TCN,ridge,current,P48,-0.009005466280681107
regression,TCN,ridge,current,P8,0.002678429783006253
regression,TCN,ridge,current,P9,-0.007606474723141021
regression,TCN,random_forest,current,P12,0.04107552599080677
regression,TCN,random_forest,current,P13,0.051702815923917456
regression,TCN,random_forest,current,P18,0.04744905070923555
regression,TCN,random_forest,current,P19,0.021192632137082335
regression,TCN,random_forest,current,P2,0.062188002185988855
regression,TCN,random_forest,current,P20,0.03286416934947711
regression,TCN,random_forest,current,P21,0.06131283104628671
regression,TCN,random_forest,current,P22,0.059974583578079166
regression,TCN,random_forest,current,P24,0.0368210386176131
regression,TCN,random_forest,current,P26,0.05290168001257789
regression,TCN,random_forest,current,P27,0.01162186728891057
regression,TCN,random_forest,current,P3,0.04932368976241497
regression,TCN,random_forest,current,P30,0.010787175747120292
regression,TCN,random_forest,current,P33,0.06950124616894993
regression,TCN,random_forest,current,P34,0.012256158126831895
regression,TCN,random_forest,current,P35,0.04800031065622612
regression,TCN,random_forest,current,P36,0.05381781484135628
regression,TCN,random_forest,current,P4,0.021512305363695527
regression,TCN,random_forest,current,P40,0.0327360923552531
regression,TCN,random_forest,current,P43,0.032175720980232914
regression,TCN,random_forest,current,P44,0.020320555516144534
regression,TCN,random_forest,current,P46,0.00037081114889003786
regression,TCN,random_forest,current,P48,0.04756926368516101
regression,TCN,random_forest,current,P8,0.03179442319644199
regression,TCN,random_forest,current,P9,0.024830512355698442
regression,TCN,dummy_mean,current,P12,0.004572756793182253
regression,TCN,dummy_mean,current,P13,-0.004519824541003747
regression,TCN,dummy_mean,current,P18,-0.004890190249203119
regression,TCN,dummy_mean,current,P19,-0.016547939283456436
regression,TCN,dummy_mean,current,P2,-0.005440044271953326
regression,TCN,dummy_mean,current,P20,-0.006314064870623026
regression,TCN,dummy_mean,current,P21,0.015604623608442836
