fold,task,kind,model,subset,n_features,macro_score,balanced_accuracy,macro_f1,rows,r2,mse
3,attention_primary,classification,logistic,compact_no_noise,9,0.3180175005823095,0.31948053270083804,0.29548863750766136,2660,,
3,attention_primary,classification,random_forest,full,18,0.3614130236245804,0.3631579974262464,0.3630633337190025,2660,,
3,attention_primary,classification,random_forest,EEG,9,0.3223366326700882,0.3240626455371163,0.31670896143240984,2660,,
3,attention_primary,classification,random_forest,compact_no_noise,9,0.3358110451183033,0.33574378850768943,0.3331945727249542,2660,,
3,attention_primary,regression,dummy,full,18,-0.9999999990837749,,,2660,0.0,0.9999999990652183
3,attention_primary,regression,ridge,full,18,-1.0075429731677683,,,2660,-0.007237179346702538,1.0072371784051557
3,attention_primary,regression,ridge,EEG,9,-1.004736470640285,,,2660,-0.004851251314376359,1.0048512503750597
3,attention_primary,regression,ridge,compact_no_noise,9,-1.0034448446952169,,,2660,-0.002977817295680474,1.0029778163581151
3,attention_primary,regression,random_forest,full,18,-1.0387842008651185,,,2660,-0.03718032276143268,1.0371803217918956
3,attention_primary,regression,random_forest,EEG,9,-1.0600038756414414,,,2660,-0.0612909937180639,1.0612909927259884
3,attention_primary,regression,random_forest,compact_no_noise,9,-1.0212553378081568,,,2660,-0.018243246387767087,1.0182432454359318
3,arousal_primary_6s,classification,dummy,full,25,0.3333333333333333,0.3333333333333333,0.16671365473169816,2660,,
3,arousal_primary_6s,classification,logistic,full,25,0.3546197400855057,0.35641907224409436,0.35430204346451194,2660,,
3,arousal_primary_6s,classification,logistic,Pupil,6,0.3318288826003235,0.3335008733287355,0.3222147150854087,2660,,
3,arousal_primary_6s,classification,logistic,Eye_Pupil,16,0.35368501850469075,0.3545214167012351,0.3543386429258924,2660,,
3,arousal_primary_6s,classification,logistic,Pupil_no_quality,5,0.35007826960496136,0.3526759318404884,0.3401286177008327,2660,,
3,arousal_primary_6s,classification,logistic,Eye_Pupil_no_quality,15,0.35662352449059714,0.35677790474057597,0.3564801747614513,2660,,
3,arousal_primary_6s,classification,random_forest,full,25,0.36226132560040686,0.36164716840441696,0.36047719334724876,2660,,
3,arousal_primary_6s,classification,random_forest,Pupil,6,0.3270874090673247,0.3266733004021808,0.3255667027163814,2660,,
3,arousal_primary_6s,classification,random_forest,Eye_Pupil,16,0.3399574093621884,0.3402181667646458,0.34020638671050357,2660,,
3,arousal_primary_6s,classification,random_forest,Pupil_no_quality,5,0.33940188114521225,0.340583785691321,0.33956404885737435,2660,,
3,arousal_primary_6s,classification,random_forest,Eye_Pupil_no_quality,15,0.3360811230225826,0.33570137331898003,0.33526156205414953,2660,,
3,arousal_primary_6s,regression,dummy,full,25,-0.9999999991793809,,,2660,0.0,0.999999999263136
3,arousal_primary_6s,regression,ridge,full,25,-1.0014088236152427,,,2660,-0.0017382762316591194,1.0017382754935142
3,arousal_primary_6s,regression,ridge,Pupil,6,-1.0001548637992446,,,2660,-0.00041047423484363854,1.000410473497677
3,arousal_primary_6s,regression,ridge,Eye_Pupil,16,-1.0023145673116427,,,2660,-0.0024587241190872078,1.0024587233804114
3,arousal_primary_6s,regression,ridge,Pupil_no_quality,5,-0.9992553554056446,,,2660,0.0007149566956458075,0.9992850425680169
3,arousal_primary_6s,regression,ridge,Eye_Pupil_no_quality,15,-1.0010669707642932,,,2660,-0.0008796915856512655,1.000879690848139
3,arousal_primary_6s,regression,random_forest,full,25,-1.0212380537541779,,,2660,-0.018416819152060615,1.018416818401626
3,arousal_primary_6s,regression,random_forest,Pupil,6,-1.0473084596302982,,,2660,-0.04645890348075432,1.0464589027096562
3,arousal_primary_6s,regression,random_forest,Eye_Pupil,16,-1.034044093946426,,,2660,-0.0319989962870495,1.0319989955266065
3,arousal_primary_6s,regression,random_forest,Pupil_no_quality,5,-1.0379928915942827,,,2660,-0.0383939088388503,1.038393908073695
3,arousal_primary_6s,regression,random_forest,Eye_Pupil_no_quality,15,-1.026881389752186,,,2660,-0.025109345215032386,1.025109344459666
4,attention_primary,classification,dummy,full,18,0.3333333333333333,0.3333333333333333,0.16648189209164818,2707,,
4,attention_primary,classification,logistic,full,18,0.32760072546741253,0.3276376807853461,0.3244520144922605,2707,,
4,attention_primary,classification,logistic,EEG,9,0.34039304221681865,0.3401941733253196,0.3151498869566494,2707,,
