variant,participant,loss
drop_fixation_total_ms,P2,0.0014924291820619384
drop_fixation_total_ms,P35,-0.016666666666666774
drop_fixation_total_ms,P40,5.049357469261162e-05
drop_fixation_total_ms,P18,-0.01910828025477712
drop_fixation_total_ms,P27,0.06011730205278587
drop_fixation_total_ms,P36,0.007901148625130472
drop_fixation_total_ms,P46,-0.01913265306122447
drop_fixation_total_ms,P8,-0.019055213792055825
drop_fixation_total_ms,P20,-0.010038811762949684
drop_fixation_total_ms,P3,-0.026915113871635588
drop_fixation_total_ms,P33,0.01377135649581468
drop_fixation_total_ms,P4,-0.008714596949891074
drop_fixation_total_ms,P9,0.01959637656232094
drop_fixation_total_ms,P13,0.0037139349294045276
drop_fixation_total_ms,P21,-0.0018405502276470087
drop_fixation_total_ms,P26,0.005714285714285672
drop_fixation_total_ms,P34,-0.003726708074534235
drop_fixation_total_ms,P44,-0.0073260073260073
drop_fixation_mean_ms,P22,-0.005780346820809301
drop_fixation_mean_ms,P24,-0.005780346820809301
drop_fixation_mean_ms,P30,-8.459807454841428e-06
drop_fixation_mean_ms,P43,0.0015015015015014122
drop_fixation_mean_ms,P48,0.005076142131979655
drop_fixation_mean_ms,P12,-0.002066750453847188
drop_fixation_mean_ms,P19,-0.01882861635220129
drop_fixation_mean_ms,P2,-0.00621603999130621
drop_fixation_mean_ms,P35,-0.0092592592592593
drop_fixation_mean_ms,P40,-0.0061980862935190895
drop_fixation_mean_ms,P18,0.01273885350318471
drop_fixation_mean_ms,P27,0.006353861192570864
drop_fixation_mean_ms,P36,0.029481378350156573
drop_fixation_mean_ms,P46,-0.008928571428571397
drop_fixation_mean_ms,P8,0.004769499506341701
drop_fixation_mean_ms,P20,-0.025893168134547395
drop_fixation_mean_ms,P3,-0.022774327122153104
drop_fixation_mean_ms,P33,-0.025341130604288498
drop_fixation_mean_ms,P4,-0.015250544662309296
drop_fixation_mean_ms,P9,-0.002006650613461669
drop_fixation_mean_ms,P13,-0.011090648659709379
drop_fixation_mean_ms,P21,-0.010781749491426795
drop_fixation_mean_ms,P26,0.01904761904761898
drop_fixation_mean_ms,P34,-0.016992014196983152
drop_fixation_mean_ms,P44,-0.009137492744050013
drop_fixation_median_ms,P22,-0.009645113590536436
drop_fixation_median_ms,P24,-0.0019267822736031004
drop_fixation_median_ms,P30,-0.005042045243050242
drop_fixation_median_ms,P43,0.0015015015015014122
drop_fixation_median_ms,P48,0.006768189509306188
drop_fixation_median_ms,P12,-0.004287110738723732
