model_id,fold,variant,kind,macro_score,rows,participants,balanced_accuracy,macro_f1
fold5_without_pupil,5,without_pupil,modality,0.39696267068645735,2707,5,0.372115612620237,0.3623659460935989
fold5_only_pupil,5,only_pupil,unimodal,0.39340118840918953,2707,5,0.3565742640499796,0.33751756059554183
fold5_without_eye,5,without_eye,modality,0.40559133797592495,2707,5,0.3767612541994408,0.3597125822280261
fold5_only_eye,5,only_eye,unimodal,0.3529907745219111,2707,5,0.34644900384644867,0.34102257054542146
fold5_without_eeg,5,without_eeg,modality,0.3723823850787973,2707,5,0.35459706689959547,0.3505347236368715
fold5_only_eeg,5,only_eeg,unimodal,0.39688880782264657,2707,5,0.3672653021091365,0.3422987713358092
fold5_current_keep_smooth,5,current_keep_smooth,temporal,0.383633772246308,2707,5,0.3555107090431487,0.35042754935489606
fold5_no_smooth,5,no_smooth,temporal,0.40384237645903875,2707,5,0.38103714879163136,0.37241155333880466
fold5_current_no_smooth,5,current_no_smooth,temporal,0.383633772246308,2707,5,0.3555107090431487,0.35042754935489606
fold5_drop_pupil_mean_z,5,drop_pupil_mean_z,variable,0.40326096932126204,2707,5,0.38051614149421886,0.37207297062220374
fold5_drop_pupil_std_z,5,drop_pupil_std_z,variable,0.4005749722940367,2707,5,0.37582551826332894,0.36624997309929186
fold5_drop_pupil_min_z,5,drop_pupil_min_z,variable,0.40522504480226706,2707,5,0.3798265543574422,0.3712268659342637
fold5_drop_pupil_max_z,5,drop_pupil_max_z,variable,0.39994654255165923,2707,5,0.3757860605529913,0.3674617037158208
fold5_drop_pupil_slope_z_s,5,drop_pupil_slope_z_s,variable,0.40642753992873804,2707,5,0.3813998300658086,0.37261215380296536
fold5_drop_gaze_dispersion_x_px,5,drop_gaze_dispersion_x_px,variable,0.39730642740225175,2707,5,0.3717958020630165,0.3589456827802948
fold5_drop_gaze_dispersion_y_px,5,drop_gaze_dispersion_y_px,variable,0.4005653531798125,2707,5,0.3758920551232923,0.36714316490623483
fold5_drop_gaze_dispersion_2d_px,5,drop_gaze_dispersion_2d_px,variable,0.39915885312101146,2707,5,0.3735095160888293,0.360765246846728
fold5_drop_gaze_path_length_px,5,drop_gaze_path_length_px,variable,0.39891248022152037,2707,5,0.37652402755180175,0.36860811744127514
fold5_drop_fixation_count,5,drop_fixation_count,variable,0.40842203209366934,2707,5,0.3820959887199539,0.3745512053388456
fold5_drop_fixation_total_ms,5,drop_fixation_total_ms,variable,0.40453538545593837,2707,5,0.37870011519686475,0.36991285453154915
fold5_drop_fixation_mean_ms,5,drop_fixation_mean_ms,variable,0.4096332336679488,2707,5,0.386277983214143,0.3768291998974948
fold5_drop_fixation_median_ms,5,drop_fixation_median_ms,variable,0.4021060537490431,2707,5,0.3774548077233894,0.3671826535091689
fold5_drop_saccade_count,5,drop_saccade_count,variable,0.39670862336123763,2707,5,0.3744450123253435,0.36561751382089064
fold5_drop_saccade_mean_ms,5,drop_saccade_mean_ms,variable,0.40336696117181275,2707,5,0.3820933687934857,0.3735396819433238
fold5_drop_eeg_rms_uv,5,drop_eeg_rms_uv,variable,0.4040281791690112,2707,5,0.38007560717165806,0.37234230629931714
fold5_drop_eeg_std_uv,5,drop_eeg_std_uv,variable,0.4061558802323014,2707,5,0.3831940170664732,0.37484572425804413
fold5_drop_eeg_peak_to_peak_uv,5,drop_eeg_peak_to_peak_uv,variable,0.4027043991704279,2707,5,0.37951385390187203,0.37095284630429365
fold5_drop_eeg_delta_relative,5,drop_eeg_delta_relative,variable,0.4120129088055255,2707,5,0.3863634701521869,0.3753842414011485
fold5_drop_eeg_theta_relative,5,drop_eeg_theta_relative,variable,0.4013249438561462,2707,5,0.3698990482949413,0.3606876995137786
fold5_drop_eeg_alpha_relative,5,drop_eeg_alpha_relative,variable,0.4033067489692629,2707,5,0.37817910789945214,0.36965509055583046
fold5_drop_eeg_beta_relative,5,drop_eeg_beta_relative,variable,0.40396054028430156,2707,5,0.3783232285156584,0.36915676881206005
fold5_drop_eeg_gamma_relative,5,drop_eeg_gamma_relative,variable,0.3959294213767855,2707,5,0.3720188094937731,0.36500855253441417
fold5_drop_eeg_line_noise_ratio,5,drop_eeg_line_noise_ratio,variable,0.4034113298331975,2707,5,0.37902098812637686,0.37095334495223026
fold5_pca_0.8,5,pca_0.8,pca,0.3703208587290895,2707,5,0.33477847727644355,0.3069469502684868
fold5_pca_0.9,5,pca_0.9,pca,0.3963920522748175,2707,5,0.35833004091632675,0.32943764391035596
fold5_pca_0.95,5,pca_0.95,pca,0.3938225053940204,2707,5,0.36220592126858575,0.3423062740488883
fold5_pca_full,5,pca_full,pca,0.40384237645903875,2707,5,0.38103714879163136,0.37241155333880466
