model_id,task,fold,scope,seed,participant,score
attention__fold5__fixed_logistic__20260910,attention,5,fixed_logistic,20260910,P26,0.34857142857142853
attention__fold5__fixed_logistic__20260910,attention,5,fixed_logistic,20260910,P34,0.31520306321009356
attention__fold5__fixed_logistic__20260910,attention,5,fixed_logistic,20260910,P44,0.32130346884445243
attention__fold5__fixed_logistic__20260911,attention,5,fixed_logistic,20260911,P13,0.33360957642725597
attention__fold5__fixed_logistic__20260911,attention,5,fixed_logistic,20260911,P21,0.3193160902838322
attention__fold5__fixed_logistic__20260911,attention,5,fixed_logistic,20260911,P26,0.34857142857142853
attention__fold5__fixed_logistic__20260911,attention,5,fixed_logistic,20260911,P34,0.31520306321009356
attention__fold5__fixed_logistic__20260911,attention,5,fixed_logistic,20260911,P44,0.32130346884445243
arousal__fold1__early__20260910,arousal,1,early,20260910,P22,0.317190930680647
arousal__fold1__early__20260910,arousal,1,early,20260910,P24,0.45711789218981047
arousal__fold1__early__20260910,arousal,1,early,20260910,P30,0.2886401705497183
arousal__fold1__early__20260910,arousal,1,early,20260910,P43,0.4100457923987335
arousal__fold1__early__20260910,arousal,1,early,20260910,P48,0.3570219966159052
arousal__fold1__early__20260911,arousal,1,early,20260911,P22,0.317190930680647
arousal__fold1__early__20260911,arousal,1,early,20260911,P24,0.45711789218981047
arousal__fold1__early__20260911,arousal,1,early,20260911,P30,0.2886401705497183
arousal__fold1__early__20260911,arousal,1,early,20260911,P43,0.4100457923987335
arousal__fold1__early__20260911,arousal,1,early,20260911,P48,0.3570219966159052
arousal__fold1__late_mean__20260910,arousal,1,late_mean,20260910,P22,0.33061119326074295
arousal__fold1__late_mean__20260910,arousal,1,late_mean,20260910,P24,0.4764753327060089
arousal__fold1__late_mean__20260910,arousal,1,late_mean,20260910,P30,0.26864964553406767
arousal__fold1__late_mean__20260910,arousal,1,late_mean,20260910,P43,0.4159295041647983
arousal__fold1__late_mean__20260910,arousal,1,late_mean,20260910,P48,0.3553299492385787
arousal__fold1__late_mean__20260911,arousal,1,late_mean,20260911,P22,0.33061119326074295
arousal__fold1__late_mean__20260911,arousal,1,late_mean,20260911,P24,0.4764753327060089
arousal__fold1__late_mean__20260911,arousal,1,late_mean,20260911,P30,0.26864964553406767
arousal__fold1__late_mean__20260911,arousal,1,late_mean,20260911,P43,0.4159295041647983
