fold,inner,candidate_id,family,window,score,alpha,shrink,temperature
5,1,hmm_0.5_0.25,hmm,,0.3405899402830566,,0.5,0.25
5,1,hmm_0.5_1.0,hmm,,0.3468857957921099,,0.5,1.0
5,1,hmm_0.5_4.0,hmm,,0.347668329748833,,0.5,4.0
5,2,mean_1,mean,1.0,0.3255363860831577,,,
5,2,mean_4,mean,4.0,0.30569570204116087,,,
5,2,mean_16,mean,16.0,0.29462574589906465,,,
5,2,mean_64,mean,64.0,0.29324837966594725,,,
5,2,ema_0.02,ema,,0.30282128949717424,0.02,,
5,2,ema_0.1,ema,,0.29934436251968394,0.1,,
5,2,ema_0.3,ema,,0.30435988241626616,0.3,,
5,2,hmm_0.01_0.25,hmm,,0.30352646871644295,,0.01,0.25
5,2,hmm_0.01_1.0,hmm,,0.3079597914970026,,0.01,1.0
5,2,hmm_0.01_4.0,hmm,,0.32331601547222427,,0.01,4.0
5,2,hmm_0.1_0.25,hmm,,0.30434375050503587,,0.1,0.25
5,2,hmm_0.1_1.0,hmm,,0.31085216288004386,,0.1,1.0
5,2,hmm_0.1_4.0,hmm,,0.3253891882500843,,0.1,4.0
5,2,hmm_0.5_0.25,hmm,,0.32192325579830544,,0.5,0.25
5,2,hmm_0.5_1.0,hmm,,0.3220949470572076,,0.5,1.0
5,2,hmm_0.5_4.0,hmm,,0.32404138909618424,,0.5,4.0
5,3,mean_1,mean,1.0,0.3056889626798489,,,
5,3,mean_4,mean,4.0,0.30087216393291816,,,
5,3,mean_16,mean,16.0,0.3114422165176993,,,
5,3,mean_64,mean,64.0,0.31993304579960363,,,
5,3,ema_0.02,ema,,0.3496456077886914,0.02,,
5,3,ema_0.1,ema,,0.32071349659800646,0.1,,
5,3,ema_0.3,ema,,0.30584495878033857,0.3,,
5,3,hmm_0.01_0.25,hmm,,0.30684478267273374,,0.01,0.25
5,3,hmm_0.01_1.0,hmm,,0.31640316152972475,,0.01,1.0
5,3,hmm_0.01_4.0,hmm,,0.31759291258353956,,0.01,4.0
5,3,hmm_0.1_0.25,hmm,,0.3080496930013854,,0.1,0.25
5,3,hmm_0.1_1.0,hmm,,0.30978995396183295,,0.1,1.0
5,3,hmm_0.1_4.0,hmm,,0.3152730756203625,,0.1,4.0
5,3,hmm_0.5_0.25,hmm,,0.2996810800040876,,0.5,0.25
5,3,hmm_0.5_1.0,hmm,,0.3012623978587905,,0.5,1.0
5,3,hmm_0.5_4.0,hmm,,0.3081840177730487,,0.5,4.0
