task,kind,subset,architecture,seed,split,feature,participant,temporal_importance,baseline_importance,differential_importance
arousal_primary_6s,classification,full,LSTM,20260907,validation,eeg_gamma_relative,P32,0.011769346791971192,0.011393433112890127,0.00037591367908106424
arousal_primary_6s,classification,full,LSTM,20260907,validation,eeg_gamma_relative,P38,0.0015914842001798712,0.00970784449045321,-0.008116360290273338
arousal_primary_6s,classification,full,LSTM,20260907,validation,eeg_gamma_relative,P41,-0.008801313628899831,0.02326874657909146,-0.03207006020799129
arousal_primary_6s,classification,full,LSTM,20260907,validation,eeg_gamma_relative,P47,0.004524991324961314,0.001675491035034049,0.002849500289927265
arousal_primary_6s,classification,full,LSTM,20260907,validation,eeg_gamma_relative,P6,0.0009059324811536484,0.0041389708292363546,-0.003233038348082706
arousal_primary_6s,classification,full,LSTM,20260907,validation,eeg_line_noise_ratio,P23,-0.006280193236714959,0.010628019323671512,-0.016908212560386472
arousal_primary_6s,classification,full,LSTM,20260907,validation,eeg_line_noise_ratio,P28,-0.0022310901505532056,-0.007651611342886522,0.005420521192333317
arousal_primary_6s,classification,full,LSTM,20260907,validation,eeg_line_noise_ratio,P31,-0.0034188034188033954,0.0017094017094018144,-0.00512820512820521
arousal_primary_6s,classification,full,LSTM,20260907,validation,eeg_line_noise_ratio,P32,0.0051119619445411215,1.1602274045718896e-05,0.005100359670495403
arousal_primary_6s,classification,full,LSTM,20260907,validation,eeg_line_noise_ratio,P38,-0.006840663362402477,-0.007907229646360103,0.0010665662839576253
arousal_primary_6s,classification,full,LSTM,20260907,validation,eeg_line_noise_ratio,P41,-0.0003831417624521105,-0.006504652435686898,0.0061215106732347875
arousal_primary_6s,classification,full,LSTM,20260907,validation,eeg_line_noise_ratio,P47,0.005439242964613278,0.002986023000305582,0.0024532199643076957
arousal_primary_6s,classification,full,LSTM,20260907,validation,eeg_line_noise_ratio,P6,-0.0008941330711242701,0.003234349393641456,-0.004128482464765726
arousal_primary_6s,classification,full,LSTM,20260907,validation,gaze_dispersion_x_px,P23,0.00434782608695653,0.015942028985507263,-0.011594202898550733
arousal_primary_6s,classification,full,LSTM,20260907,validation,gaze_dispersion_x_px,P28,0.022909486667875935,0.004044984581897315,0.01886450208597862
arousal_primary_6s,classification,full,LSTM,20260907,validation,gaze_dispersion_x_px,P31,-0.007863247863247814,4.4408920985006264e-17,-0.007863247863247859
arousal_primary_6s,classification,full,LSTM,20260907,validation,gaze_dispersion_x_px,P32,0.0046525118923308574,0.007778164520245967,-0.0031256526279151093
arousal_primary_6s,classification,full,LSTM,20260907,validation,gaze_dispersion_x_px,P38,0.015593826463391691,-0.0020965347052303573,0.01769036116862205
arousal_primary_6s,classification,full,LSTM,20260907,validation,gaze_dispersion_x_px,P41,-0.004998357963875199,0.01303119868637117,-0.01802955665024637
arousal_primary_6s,classification,full,LSTM,20260907,validation,gaze_dispersion_x_px,P47,0.01931644491217529,0.0016563312849865119,0.017660113627188778
arousal_primary_6s,classification,full,LSTM,20260907,validation,gaze_dispersion_x_px,P6,-0.006459521468371099,0.013321533923303864,-0.019781055391674962
arousal_primary_6s,classification,full,LSTM,20260907,validation,gaze_dispersion_y_px,P23,-0.0004830917874396157,0.0,-0.0004830917874396157
arousal_primary_6s,classification,full,LSTM,20260907,validation,gaze_dispersion_y_px,P28,0.014828586976238034,0.006656992563032838,0.008171594413205197
arousal_primary_6s,classification,full,LSTM,20260907,validation,gaze_dispersion_y_px,P31,-0.0017094017094017033,0.004102564102564177,-0.0058119658119658805
arousal_primary_6s,classification,full,LSTM,20260907,validation,gaze_dispersion_y_px,P32,0.0019816684070077415,0.004341570947905793,-0.0023599025408980517
arousal_primary_6s,classification,full,LSTM,20260907,validation,gaze_dispersion_y_px,P38,0.006077336512119114,0.007910366606018826,-0.001833030093899712
arousal_primary_6s,classification,full,LSTM,20260907,validation,gaze_dispersion_y_px,P41,0.004225506294471837,-0.001530377668308669,0.005755883962780506
arousal_primary_6s,classification,full,LSTM,20260907,validation,gaze_dispersion_y_px,P47,0.01259880116153148,-0.0036233567730222017,0.016222157934553682
arousal_primary_6s,classification,full,LSTM,20260907,validation,gaze_dispersion_y_px,P6,0.004721075057358193,-0.007387741724024866,0.012108816781383059
arousal_primary_6s,classification,full,LSTM,20260907,validation,gaze_dispersion_2d_px,P23,0.014492753623188382,0.016908212560386483,-0.002415458937198101
