task,subset,kind,architecture,seed,epoch,train_loss,validation_macro_score
attention_primary,full,regression,BiLSTM,20260907,4,0.9862414166899836,-1.0117955684574034
attention_primary,full,regression,BiLSTM,20260907,5,0.9835246642183814,-1.0153236101438763
attention_primary,full,regression,BiLSTM,20260907,6,0.9790683038415939,-1.017023484606765
attention_primary,full,regression,BiLSTM,20260907,7,0.9742702939601313,-1.0196128967415823
attention_primary,full,regression,BiLSTM,20260907,8,0.9721414174810735,-1.0205971490334198
attention_primary,full,regression,BiLSTM,20260908,1,1.0010888737286734,-0.9997699198009993
attention_primary,full,regression,BiLSTM,20260908,2,0.9940796864875425,-1.005356173045274
attention_primary,full,regression,BiLSTM,20260908,3,0.9901626992775681,-1.0113704040863976
attention_primary,full,regression,BiLSTM,20260908,4,0.9851079127627059,-1.0107620366132277
attention_primary,full,regression,BiLSTM,20260908,5,0.9812075399640254,-1.014628547109339
attention_primary,full,regression,BiLSTM,20260908,6,0.9771342075847727,-1.0197462962609185
attention_primary,full,regression,BiLSTM,20260908,7,0.9736044705178533,-1.0181384089130074
attention_primary,full,regression,BiLSTM,20260908,8,0.9732125809967641,-1.022369547721646
attention_primary,full,regression,MLP_current,20260907,1,1.0057086454661983,-1.0014247870166102
attention_primary,full,regression,MLP_current,20260907,2,1.0037130873713116,-1.0018040166114357
attention_primary,full,regression,MLP_current,20260907,3,0.9983011380662159,-1.001656558837633
attention_primary,full,regression,MLP_current,20260907,4,0.9980606224296432,-1.0021820999556188
attention_primary,full,regression,MLP_current,20260907,5,0.9943587703840226,-1.0022427338598898
attention_primary,full,regression,MLP_current,20260907,6,0.9958191557912142,-1.0029065924182352
attention_primary,full,regression,MLP_current,20260907,7,0.9946859823250622,-1.0031424561234723
attention_primary,full,regression,MLP_current,20260907,8,0.9950985629612862,-1.0034332159820814
attention_primary,full,regression,MLP_current,20260908,1,1.0095877737485597,-1.0011497031915138
attention_primary,full,regression,MLP_current,20260908,2,1.000382620161435,-1.0014216749596803
attention_primary,full,regression,MLP_current,20260908,3,1.000688576056597,-1.0016105498335928
attention_primary,full,regression,MLP_current,20260908,4,0.9980403914390954,-1.001905352498596
attention_primary,full,regression,MLP_current,20260908,5,0.9962691682501327,-1.0024585998920525
attention_primary,full,regression,MLP_current,20260908,6,0.9962756135907268,-1.0024329263576055
attention_primary,full,regression,MLP_current,20260908,7,0.9941247268669424,-1.0034883963701167
attention_primary,full,regression,MLP_current,20260908,8,0.9935865295388155,-1.0042366477821936
attention_primary,EEG,classification,TCN,20260907,1,1.1106049353749892,0.34631221641410687
attention_primary,EEG,classification,TCN,20260907,2,1.1015854345133798,0.35410729952457265
attention_primary,EEG,classification,TCN,20260907,3,1.100449580583513,0.3399659521312036
attention_primary,EEG,classification,TCN,20260907,4,1.0991593677593525,0.340532120906303
attention_primary,EEG,classification,TCN,20260907,5,1.0998362590490238,0.3361224135486581
attention_primary,EEG,classification,TCN,20260907,6,1.0978598422956198,0.33426892965077293
attention_primary,EEG,classification,TCN,20260907,7,1.0974385828987376,0.3356922388343726
attention_primary,EEG,classification,TCN,20260907,8,1.0979681630629614,0.3433021019171194
attention_primary,EEG,classification,TCN,20260908,1,1.1080512698322174,0.3261622207097395
attention_primary,EEG,classification,TCN,20260908,2,1.1014734436795048,0.33821787750451765
attention_primary,EEG,classification,TCN,20260908,3,1.100305766299151,0.33093250500688465
attention_primary,EEG,classification,TCN,20260908,4,1.0997695942596373,0.33010894264220786
attention_primary,EEG,classification,TCN,20260908,5,1.0994293986252517,0.330798752603381
attention_primary,EEG,classification,TCN,20260908,6,1.0981855882903029,0.3332043232185901
attention_primary,EEG,classification,TCN,20260908,7,1.0981110797694222,0.33268814892988996
attention_primary,EEG,classification,TCN,20260908,8,1.0969610185321355,0.3329676023825977
attention_primary,EEG,classification,LSTM,20260907,1,1.100938335180071,0.33529786236444614
attention_primary,EEG,classification,LSTM,20260907,2,1.0994425839272097,0.33706754397835903
attention_primary,EEG,classification,LSTM,20260907,3,1.098783457959696,0.33562408930350246
attention_primary,EEG,classification,LSTM,20260907,4,1.0984481143655245,0.3398912989337377
attention_primary,EEG,classification,LSTM,20260907,5,1.0985311858225983,0.3421172494486443
attention_primary,EEG,classification,LSTM,20260907,6,1.0974537375339282,0.34303666788970927
attention_primary,EEG,classification,LSTM,20260907,7,1.0978648508487105,0.34751343057779743
attention_primary,EEG,classification,LSTM,20260907,8,1.097907199058544,0.33699255392198846
attention_primary,EEG,classification,LSTM,20260907,9,1.097493504532975,0.3419080187712758
attention_primary,EEG,classification,LSTM,20260907,10,1.0976424391048965,0.34057514115049936
attention_primary,EEG,classification,LSTM,20260907,11,1.097326747167396,0.3402886647835625
