task,kind,subset,architecture,seed,split,scope,macro_score,rows,participants,balanced_accuracy,macro_f1,r2,mae,mse
arousal_primary_6s,classification,full,TCN,20260907,validation,all,0.35902645504378594,4662,8,0.356600648277221,0.3446084960674647,,,
arousal_primary_6s,classification,full,TCN,20260907,validation,history_8,0.3100102895275285,1591,8,0.31723185404239934,0.29938256092518145,,,
arousal_primary_6s,classification,full,TCN,20260907,test,all,0.38248703451356875,4025,8,0.35798866751881436,0.3472767400459174,,,
arousal_primary_6s,classification,full,TCN,20260907,test,history_8,0.38118901306404623,1375,8,0.3678100553303209,0.3562901470614055,,,
arousal_primary_6s,classification,full,TCN,20260908,validation,all,0.3607459130377358,4662,8,0.3668688164273861,0.35988650337191674,,,
arousal_primary_6s,classification,full,TCN,20260908,validation,history_8,0.3273407186648321,1591,8,0.3462330725189345,0.3426207067422342,,,
arousal_primary_6s,classification,full,TCN,20260908,test,all,0.3532610322009152,4025,8,0.3521656148786716,0.3437801036082789,,,
arousal_primary_6s,classification,full,TCN,20260908,test,history_8,0.32527758520292344,1375,8,0.3377324836573799,0.3179297497814538,,,
arousal_primary_6s,classification,full,LSTM,20260907,validation,all,0.3652676814475775,4662,8,0.36241266420222323,0.34401820171563474,,,
arousal_primary_6s,classification,full,LSTM,20260907,validation,history_8,0.3401525582611836,1591,8,0.3378889810112348,0.32348900641735123,,,
arousal_primary_6s,classification,full,LSTM,20260907,test,all,0.36383277345282594,4025,8,0.3416005177213937,0.3367541657227718,,,
arousal_primary_6s,classification,full,LSTM,20260907,test,history_8,0.3406741024082718,1375,8,0.32871396384072593,0.32439781303612397,,,
arousal_primary_6s,classification,full,LSTM,20260908,validation,all,0.3797912328487752,4662,8,0.37698021921441666,0.3644696255255691,,,
arousal_primary_6s,classification,full,LSTM,20260908,validation,history_8,0.36194459832407017,1591,8,0.3582092758624162,0.351186359104988,,,
arousal_primary_6s,classification,full,LSTM,20260908,test,all,0.34181127037963926,4025,8,0.3292183977833502,0.32746711907373455,,,
arousal_primary_6s,classification,full,LSTM,20260908,test,history_8,0.33039114999624497,1375,8,0.32635232297178624,0.32050244389910937,,,
arousal_primary_6s,classification,full,BiLSTM,20260907,validation,all,0.3507977480838711,4662,8,0.3587189381894476,0.34736708643336334,,,
arousal_primary_6s,classification,full,BiLSTM,20260907,validation,history_8,0.3246553360178821,1591,8,0.3434333513475411,0.34145144372431685,,,
arousal_primary_6s,classification,full,BiLSTM,20260907,test,all,0.387827822644634,4025,8,0.3562134261884105,0.3527568512027601,,,
arousal_primary_6s,classification,full,BiLSTM,20260907,test,history_8,0.3750928367694375,1375,8,0.36401222328494237,0.356141361194761,,,
arousal_primary_6s,classification,full,BiLSTM,20260908,validation,all,0.37261664606899947,4662,8,0.3651477045187061,0.35599455771079475,,,
arousal_primary_6s,classification,full,BiLSTM,20260908,validation,history_8,0.3685029257126022,1591,8,0.3624228326166812,0.36085526094053416,,,
arousal_primary_6s,classification,full,BiLSTM,20260908,test,all,0.37554164690919,4025,8,0.36260744035526765,0.3530967281268505,,,
arousal_primary_6s,classification,full,BiLSTM,20260908,test,history_8,0.34145201051768703,1375,8,0.33266312306663653,0.3264243440534494,,,
arousal_primary_6s,classification,full,MLP_current,20260907,validation,all,0.3758887949282317,4662,8,0.3727847733021064,0.36648904334687155,,,
arousal_primary_6s,classification,full,MLP_current,20260907,validation,history_8,0.3401585627018422,1591,8,0.3476211735193384,0.3449909559201087,,,
arousal_primary_6s,classification,full,MLP_current,20260907,test,all,0.3562297028507688,4025,8,0.35056469365655607,0.34787408523106383,,,
arousal_primary_6s,classification,full,MLP_current,20260907,test,history_8,0.3406915953050315,1375,8,0.3548219184052231,0.35137541170935,,,
arousal_primary_6s,classification,full,MLP_current,20260908,validation,all,0.3742779284444053,4662,8,0.37957233143043734,0.3771217493897505,,,
