fold,inner,base_id,family,representation,smoothing,candidate_id,score
2,2,relative_m0,ridge,relative,32,relative_m0_s32,0.40380254983932407
2,2,relative_m1,ridge,relative,1,relative_m1_s1,0.3884617846138975
2,2,relative_m1,ridge,relative,8,relative_m1_s8,0.4062490255417631
2,2,relative_m1,ridge,relative,32,relative_m1_s32,0.40021103170133565
2,2,relative_m2,rbf,relative,1,relative_m2_s1,0.38774638024938524
2,2,relative_m2,rbf,relative,8,relative_m2_s8,0.3954025009803055
2,2,relative_m2,rbf,relative,32,relative_m2_s32,0.4027893284483541
2,2,relative_m3,rbf,relative,1,relative_m3_s1,0.36680229547868065
2,2,relative_m3,rbf,relative,8,relative_m3_s8,0.34076963922595865
2,2,relative_m3,rbf,relative,32,relative_m3_s32,0.33361462873092584
2,2,relative_m4,trees,relative,1,relative_m4_s1,0.3671438126641121
