task,kind,model,feature,importance,bootstrap_low,bootstrap_high,repeat_sd,positive_participants,participants,pooled_importance,shifted_fraction,metric
arousal_primary_6s,classification,logistic,pupil_slope_z_s,0.0016430566676822883,-0.002342920085011318,0.006129376140133644,0.0024541688387653975,3,8,0.0014622047436730734,0.95002145002145,delta_balanced_accuracy
arousal_primary_6s,classification,logistic,modalidad:EEG,-0.002884216851222158,-0.012647618837030278,0.005635847958297332,0.0028319053989324296,4,8,-0.004220426401260957,0.95002145002145,delta_balanced_accuracy
arousal_primary_6s,classification,logistic,modalidad:Eye,0.0027941381084008255,-0.0056813879639981075,0.010905041919243528,0.0032276969243304524,5,8,0.002354233798638311,0.95002145002145,delta_balanced_accuracy
arousal_primary_6s,classification,logistic,modalidad:Pupil,0.005219560533483632,-0.0070514775842476195,0.017453438098594606,0.004283471361991586,4,8,0.004957557326680373,0.95002145002145,delta_balanced_accuracy
arousal_primary_6s,classification,random_forest,eeg_rms_uv,0.0015857038845730074,-0.004021741204122715,0.00772597870671586,0.0033175799759570667,3,8,0.002280982264724435,0.95002145002145,delta_balanced_accuracy
arousal_primary_6s,classification,random_forest,eeg_std_uv,-0.002942789562752659,-0.007026839136736058,0.0016989459064104798,0.0018150716511484003,3,8,-0.0021968347991184025,0.95002145002145,delta_balanced_accuracy
arousal_primary_6s,classification,random_forest,eeg_peak_to_peak_uv,-0.0022681389909202,-0.006405183576655886,0.0017518950142327474,0.00226430951914871,3,8,-0.0020270089599714438,0.95002145002145,delta_balanced_accuracy
arousal_primary_6s,classification,random_forest,eeg_delta_relative,0.002972486011769037,-0.0032466603705336573,0.00966686347233363,0.002405496481845604,4,8,0.005263994082907453,0.95002145002145,delta_balanced_accuracy
arousal_primary_6s,classification,random_forest,eeg_theta_relative,0.000640531906664858,-0.005077571175177324,0.006519103559639979,0.0033234863991659577,4,8,0.0015977930487255487,0.95002145002145,delta_balanced_accuracy
arousal_primary_6s,classification,random_forest,eeg_alpha_relative,-0.0017864992304056184,-0.006685988557080203,0.002615777507489026,0.0022365046059256628,4,8,0.0008496269383519162,0.95002145002145,delta_balanced_accuracy
arousal_primary_6s,classification,random_forest,eeg_beta_relative,0.0010841612305584549,-0.002502167868674626,0.004714068673066927,0.0022368735343028796,5,8,0.0011987425886968717,0.95002145002145,delta_balanced_accuracy
arousal_primary_6s,classification,random_forest,eeg_gamma_relative,-0.0014964741772736684,-0.006736342680461166,0.003931133867963627,0.0023161683185370387,3,8,-0.00023709674825765913,0.95002145002145,delta_balanced_accuracy
arousal_primary_6s,classification,random_forest,eeg_line_noise_ratio,0.00011301037477330286,-0.006826287664563763,0.006184239626631831,0.0033933306769531315,5,8,0.0020070332121167713,0.95002145002145,delta_balanced_accuracy
arousal_primary_6s,classification,random_forest,gaze_dispersion_x_px,0.0029559720721241195,-0.003639808246177249,0.008575661816894016,0.0015663640833922109,5,8,0.005403140486186836,0.95002145002145,delta_balanced_accuracy
arousal_primary_6s,classification,random_forest,gaze_dispersion_y_px,0.0005780900514775478,-0.005043144025930655,0.0055099188011445924,0.002607925746543859,5,8,0.002638902691705558,0.95002145002145,delta_balanced_accuracy
arousal_primary_6s,classification,random_forest,gaze_dispersion_2d_px,0.0014690091362056636,-0.004347961767228888,0.006675831874437866,0.0030121509624964978,5,8,0.0030616462288683586,0.95002145002145,delta_balanced_accuracy
arousal_primary_6s,classification,random_forest,gaze_path_length_px,-0.0006872445899256175,-0.005864538330338559,0.00376890593594952,0.003369786482792449,5,8,0.0007132434455712711,0.95002145002145,delta_balanced_accuracy
arousal_primary_6s,classification,random_forest,fixation_count,0.0008646271620347014,-0.003880343075052084,0.005570042621604949,0.0012934968271864204,3,8,0.002343730228958435,0.95002145002145,delta_balanced_accuracy
arousal_primary_6s,classification,random_forest,fixation_total_ms,0.0019724831515673595,-0.006156001811102476,0.009633964576474119,0.0022923848589350383,5,8,0.004551076902425666,0.95002145002145,delta_balanced_accuracy
